order_id;order_item_id;product_id;seller_id;shipping_limit_date;price;freight_value;customer_id;order_status;order_purchase_date;order_purchase_timestamp;order_approved_at;order_delivered_carrier_date;order_delivered_customer_date;order_estimated_delivery_date;product_category_name;product_name_lenght;product_description_lenght;product_photos_qty;product_weight_g;product_length_cm;product_height_cm;product_width_cm;date;day_of_week_name;day_of_week;cos_dow;sin_dow;day_of_year;cos_doy;sin_doy;week_of_year_name;week_of_year;cos_woy;sin_woy;is_weekend;is_month_start;is_month_end;is_national_holiday;is_black_friday
00042b26cf59d7ce69dfabb4e55b4fd9;1;ac6c3623068f30de03045865e4e10089;df560393f3a51e74553ab94004ba5c87;2017-02-13 13:57:51;199,9;18,14;58dbd0b2d70206bf40e62cd34e84d795;delivered;2017-02-04;2017-02-04 13:57:51;2017-02-04 14:10:13;2017-02-16 09:46:09;2017-03-01 16:42:31;2017-03-17;garden_tools;59,0;409,0;1,0;3750,0;35,0;40,0;30,0;2017-02-04;Saturday;6;-0,2225209339563146;-0,9749279121818236;35;0,8241566360566663;0,5663619330814524;2017-01-30;5;0,8241496338390009;0,5663721224098525;1;0;0;0;0
00061f2a7bc09da83e415a52dc8a4af1;1;d63c1011f49d98b976c352955b1c4bea;cc419e0650a3c5ba77189a1882b7556a;2018-03-29 22:28:09;59,99;8,88;c6fc061d86fab1e2b2eac259bac71a49;delivered;2018-03-24;2018-03-24 22:16:10;2018-03-24 22:28:09;2018-03-27 05:26:55;2018-03-29 00:04:19;2018-04-09;health_beauty;57,0;614,0;1,0;950,0;35,0;25,0;20,0;2018-03-24;Saturday;6;-0,2225209339563146;-0,9749279121818236;83;0,14250832791617088;0,9897936029670716;2018-03-19;12;0,1254317956100953;0,9921022450584553;1;0;0;0;0
0006ec9db01a64e59a68b2c340bf65a7;1;99a4788cb24856965c36a24e339b6058;4a3ca9315b744ce9f8e9374361493884;2018-07-26 17:24:20;74,0;23,32;5d178120c29c61748ea95bac23cb8f25;delivered;2018-07-24;2018-07-24 17:04:17;2018-07-24 17:24:20;2018-07-25 11:02:00;2018-07-31 01:04:15;2018-08-22;bed_bath_table;54,0;245,0;1,0;1383,0;50,0;10,0;40,0;2018-07-24;Tuesday;2;0,6234898018587336;0,7818314824680298;205;-0,9268343944460494;-0,3754703786876202;2018-07-23;30;-0,8911192520994189;-0,4537691908203688;0;0;0;0;0
0008288aa423d2a3f00fcb17cd7d8719;1;368c6c730842d78016ad823897a372db;1f50f920176fa81dab994f9023523100;2018-02-21 02:55:52;49,9;13,37;2355af7c75e7c98b43a87b2a7f210dc5;delivered;2018-02-13;2018-02-13 22:10:21;2018-02-15 03:55:52;2018-02-20 18:23:28;2018-02-26 13:55:22;2018-03-06;garden_tools;57,0;366,0;2,0;1650,0;30,0;22,0;30,0;2018-02-13;Tuesday;2;0,6234898018587336;0,7818314824680298;44;0,726963615332308;0,6866759803451553;2018-02-12;7;0,6652736226051653;0,7465996296984081;0;0;0;0;0
0008288aa423d2a3f00fcb17cd7d8719;2;368c6c730842d78016ad823897a372db;1f50f920176fa81dab994f9023523100;2018-02-21 02:55:52;49,9;13,37;2355af7c75e7c98b43a87b2a7f210dc5;delivered;2018-02-13;2018-02-13 22:10:21;2018-02-15 03:55:52;2018-02-20 18:23:28;2018-02-26 13:55:22;2018-03-06;garden_tools;57,0;366,0;2,0;1650,0;30,0;22,0;30,0;2018-02-13;Tuesday;2;0,6234898018587336;0,7818314824680298;44;0,726963615332308;0,6866759803451553;2018-02-12;7;0,6652736226051653;0,7465996296984081;0;0;0;0;0
000aed2e25dbad2f9ddb70584c5a2ded;1;4fa33915031a8cde03dd0d3e8fb27f01;fe2032dab1a61af8794248c8196565c9;2018-05-16 20:57:03;144,0;8,77;fff5169e583fd07fac9fec88962f189d;delivered;2018-05-11;2018-05-11 20:33:38;2018-05-11 20:57:03;2018-05-16 14:26:00;2018-05-18 16:46:31;2018-05-22;perfumery;43,0;116,0;1,0;468,0;23,0;18,0;19,0;2018-05-11;Friday;5;-0,9009688679024191;-0,433883739117558;131;-0,6309066211876704;0,7758587728069828;2018-05-07;19;-0,6572567037282032;0,7536667867196597;0;0;0;0;0
000e562887b1f2006d75e0be9558292e;1;5ed9eaf534f6936b51d0b6c5e4d5c2e9;8cbac7e12637ed9cffa18c7875207478;2018-02-28 12:08:37;25,0;16,11;2b01d668726fb0b751c55918c0437b7b;delivered;2018-02-22;2018-02-22 11:54:42;2018-02-22 12:08:37;2018-02-26 14:18:32;2018-03-12 18:46:34;2018-03-19;cool_stuff;51,0;693,0;3,0;600,0;20,0;20,0;21,0;2018-02-22;Thursday;4;-0,900968867902419;0,43388373911755823;53;0,612380204990065;0,7905633969115482;2018-02-19;8;0,5707679517128266;0,8211114085783636;0;0;0;0;0
000e63d38ae8c00bbcb5a30573b99628;1;553e0e7590d3116a072507a3635d2877;1c129092bf23f28a5930387c980c0dfc;2018-03-29 20:07:49;47,9;8,88;98884e672c5ba85f4394f2044e1a3eab;delivered;2018-03-23;2018-03-23 19:48:26;2018-03-23 20:07:49;2018-03-26 21:38:48;2018-03-27 14:51:47;2018-04-05;bed_bath_table;38,0;735,0;5,0;800,0;20,0;20,0;20,0;2018-03-23;Friday;5;-0,9009688679024191;-0,433883739117558;82;0,15951325197263655;0,9871957872910085;2018-03-19;12;0,1254317956100953;0,9921022450584553;0;0;0;0;0
000e906b789b55f64edcb1f84030f90d;1;57d79905de06d8897872c551bfd09358;ea8482cd71df3c1969d7b9473ff13abc;2017-11-27 19:09:02;21,99;11,85;6a3b2fc9f270df258605e22bef19fd88;delivered;2017-11-21;2017-11-21 18:54:23;2017-11-21 19:09:02;2017-11-22 20:46:54;2017-12-09 17:27:23;2017-12-07;telephony;59,0;540,0;4,0;300,0;17,0;4,0;12,0;2017-11-21;Tuesday;2;0,6234898018587336;0,7818314824680298;325;0,769717664006921;-0,6383844591746642;2017-11-20;47;0,8118564064353119;-0,5838571531889813;0;0;0;0;0
001021efaa8636c29475e7734483457d;1;5d7c23067ed3fc8c6e699b9373d5890b;6560211a19b47992c3666cc44a7e94c0;2018-03-05 09:35:41;49,0;15,1;2dfbf74859104caf100df3720a1d833d;delivered;2018-02-27;2018-02-27 09:27:14;2018-02-27 09:35:41;2018-02-27 21:43:46;2018-03-08 20:06:33;2018-03-23;fashion_bags_accessories;54,0;151,0;3,0;250,0;16,0;2,0;20,0;2018-02-27;Tuesday;2;0,6234898018587336;0,7818314824680298;58;0,5422021592729844;0,8402480696078469;2018-02-26;9;0,4679956619217736;0,8837307624058365;0;0;0;0;0
00130c0eee84a3d909e75bc08c5c3ca1;1;89321f94e35fc6d7903d36f74e351d40;16090f2ca825584b5a147ab24aa30c86;2018-06-14 05:16:24;27,9;7,94;47d656c08a282ec5ab4c1f18303a3a30;delivered;2018-06-11;2018-06-11 21:17:00;2018-06-12 05:16:24;2018-06-12 14:22:00;2018-06-13 15:28:25;2018-06-20;food;59,0;982,0;1,0;150,0;17,0;13,0;13,0;2018-06-11;Monday;1;1,0;0,0;162;-0,9377159910299093;0,3474028211842774;2018-06-11;24;-0,9685337293000545;0,24888233205297766;0;0;0;0;0
00137e170939bba5a3134e2386413108;1;672e757f331900b9deea127a2a7b79fd;e59aa562b9f8076dd550fcddf0e73491;2017-11-30 06:30:55;397,0;24,65;7b63cba66b8e6d002e94d0990c1e2868;delivered;2017-11-24;2017-11-24 16:50:38;2017-11-25 06:30:55;2017-11-28 19:43:52;2017-12-11 19:12:55;2017-12-18;agro_industry_and_commerce;39,0;383,0;1,0;2650,0;30,0;30,0;20,0;2017-11-24;Friday;5;-0,9009688679024191;-0,433883739117558;328;0,801623551065242;-0,5978291414589552;2017-11-20;47;0,8118564064353119;-0,5838571531889813;0;0;0;0;1
