week_of_year_name;product_count
2016-10-03;19
2016-10-10;1
2016-10-17;0
2016-10-24;0
2016-10-31;0
2016-11-07;0
2016-11-14;0
2016-11-21;0
2016-11-28;0
2016-12-05;0
2016-12-12;0
2016-12-19;0
2016-12-26;0
2017-01-02;0
2017-01-09;5
2017-01-16;22
2017-01-23;56
2017-01-30;82
2017-02-06;90
2017-02-13;63
2017-02-20;60
2017-02-27;90
2017-03-06;123
2017-03-13;140
2017-03-20;119
2017-03-27;110
2017-04-03;108
2017-04-10;103
2017-04-17;119
2017-04-24;164
2017-05-01;169
2017-05-08;198
2017-05-15;241
2017-05-22;159
2017-05-29;195
2017-06-05;204
2017-06-12;213
2017-06-19;240
2017-06-26;224
2017-07-03;256
2017-07-10;303
2017-07-17;341
2017-07-24;305
2017-07-31;302
2017-08-07;271
2017-08-14;311
2017-08-21;249
2017-08-28;323
2017-09-04;280
2017-09-11;405
2017-09-18;384
2017-09-25;365
2017-10-02;397
2017-10-09;361
2017-10-16;427
2017-10-23;387
2017-10-30;392
2017-11-06;470
2017-11-13;484
2017-11-20;1280
2017-11-27;846
2017-12-04;666
2017-12-11;635
2017-12-18;452
2017-12-25;413
2018-01-01;593
2018-01-08;828
2018-01-15;790
2018-01-22;775
2018-01-29;787
2018-02-05;789
2018-02-12;810
2018-02-19;852
2018-02-26;972
2018-03-05;820
2018-03-12;816
2018-03-19;818
2018-03-26;738
2018-04-02;725
2018-04-09;658
2018-04-16;772
2018-04-23;820
2018-04-30;923
2018-05-07;981
2018-05-14;845
2018-05-21;422
2018-05-28;438
2018-06-04;609
2018-06-11;599
2018-06-18;631
2018-06-25;545
2018-07-02;460
2018-07-09;390
2018-07-16;582
2018-07-23;514
2018-07-30;683
2018-08-06;629
2018-08-13;519
2018-08-20;290
2018-08-27;23
